,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,Introduction to Programming 1 (Lab),Munir Makhmutov,102,,,,Philosophy (Logic) (Lab)                                       ,Mirko Farina,101,,,,Physical education ( check schedule for Sport Classes),Sport Innopolis,105,,,
10:40-12:10,Mathematical Analysis 1 (Lab),Pavel Khakimov,316,Introduction to Programming 1 (Lec),Luiz Araújo,105,,,,Computer Architecture / Fundamentals of Computer Architecture (Lecture)                                         ,Alexander Tormasov,108,Analytical Geometry and Linear Algebra 1 (Lecture),Leonid Merkin,106,,,
12:40-14:10,English for Academic Purposes - EAP7/ EAP8/ EAP9,Oksana Zhirosh/Guzel Fazlyeva/ Rabab Marouf,104/103/318,Introduction to Programming 1 (Tut) ,Luiz Araújo,105,Mathematical Analysis 1 (Lec),Sergey Gorodetskiy,105,Fundamentals of Computer Architecture (Tutorial) ,Muhammad Fahim,105,Analytical Geometry and Linear Algebra 1 (Tutorial),Ivan Konyukhov,106,,,
14:20-15:50,Discrete Mathematics (Lecture),Andrey Frolov,108,Discrete Mathematics (Lab)                                       ,Ruzilia Mukhutdinova,103,Mathematical Analysis 1 (Tutorial),Sergey Gorodetskiy,105,Fundamentals of Computer Architecture  (Lab),Hamza Salem,303,Analytical Geometry and Linear Algebra 1 (Lab) ,Nikolay Kudasov,300,,,
16:00-17:30,Discrete Mathematics (Tutorial),Andrey Frolov,108,,,,,,,,,,English for Academic Purposes - EAP9,Rabab Marouf,103,,,
17:40-19:10,,,,Fundamentals of Philosophy (Logic) (Lec) / Philosophy (Logic) (Lec),Mirko Farina,101,,,,English for Academic Purposes - EAP7/ EAP8/ EAP9,Oksana Zhirosh/Guzel Fazlyeva,104/103,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
