,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,English for Academic Purposes I - EAP1/ EAP2/ EAP3 ,Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf,104/103/318,,,,,,,,,,Physical education ( check schedule for Sport Classes),Sport Innopolis,105,,,
10:40-12:10,Introduction to Programming 1 (Lab),Munir Makhmutov,102,Introduction to Programming 1 (Lec),Luiz Araújo,105,Philosophy (Logic) (Lab)                                       ,Timur Fayzrakhmanov,103,Computer Architecture / Fundamentals of Computer Architecture (Lecture)                                         ,Alexander Tormasov,108,Analytical Geometry and Linear Algebra 1 (Lecture),Leonid Merkin,106,,,
12:40-14:10,Mathematical Analysis 1 (Lab) ,Pavel Khakimov,316,Introduction to Programming 1 (Tut) ,Luiz Araújo,105,Mathematical Analysis 1 (Lec),Sergey Gorodetskiy,105,Fundamentals of Computer Architecture (Tutorial) ,Muhammad Fahim,105,Analytical Geometry and Linear Algebra 1 (Tutorial),Ivan Konyukhov,106,,,
14:20-15:50,Discrete Mathematics (Lecture),Andrey Frolov,108,Discrete Mathematics (Lab)                                  ,Ilya Khomyakov,102,Mathematical Analysis 1 (Tutorial),Sergey Gorodetskiy,105,English for Academic Purposes I - EAP1/ EAP2/ EAP3 ,Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf,104/103/318,,,,,,
16:00-17:30,Discrete Mathematics (Tutorial),Andrey Frolov,108,,,,,,,Fundamentals of Computer Architecture  (Lab),Hamza Salem,303,Analytical Geometry and Linear Algebra 1 (Lab) ,Nikolay Kudasov,300,,,
17:40-19:10,,,,Fundamentals of Philosophy (Logic) (Lec) / Philosophy (Logic) (Lec),Mirko Farina,101,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
