,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,Introduction to Computer Vison (Lec),Muhammad Fahim,321,,,,,,,Introduction to Computer Vison (Lec),Muhammad Fahim,321,,,,,,
10:40-12:10,Introduction to Computer Vison (Lab),Some teacher,320,,,,"Academic Research and Writing Culture groups  5, 6, 7, 8",Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf/Oksana Zhirosh,303/301/306/104,Introduction to Computer Vison (Lab),Riby Abraham Boby,320,,,,,,
12:40-14:10,,,,Numerical Modeling (Lec),Yaroslav Kholodov,300,,,,,,,,,,,,
14:20-15:50,Mobile Robotics and Autonomous Driving,Ilya Afanasyev,320,Numerical Modeling (Lab)        ,Ivan Grebenkin,300,,,,,,,,,,,,
16:00-17:30,Mobile Robotics and Autonomous Driving,Dmitry Devitt,320,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
