,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,,,,"Academic Research and Writing Culture groups 1, 2,3 ,4  ",Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf/Oksana Zhirosh,303/301/306/104,,,,,,,,,
10:40-12:10,Foundations of Mathematical Economics and Quantitative Finance (Lec),Hein Roelfsema*,306,,,,,,,Foundations of Mathematical Economics and Quantitative Finance (Lec),Hein Roelfsema*,306,,,,,,
12:40-14:10,,,,,,,,,,,,,,,,,,
14:20-15:50,Foundations of Mathematical Economics and Quantitative Finance (Lab),Some teacher,313,,,,,,,Foundations of Mathematical Economics and Quantitative Finance (Lab),Some teacher,321,,,,,,
16:00-17:30,,,,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
