,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,Operating Systems (Lecture),Giancarlo Succi,108,,,,Probability and Statistics (Lec),Sergey Gorodetskiy,106,Differential Equations (Lec),Nikolay Shilov,108,,,
10:40-12:10,Fundamentals of Software Engineering (Lec),Evgeniy Bobrov,106,Operating Systems (Tutorial),Nikita Lozhnikov,108,Physics 1 - Mechanics (Lecture),Igor Gaponov,108,Probability and Statistics (Tutorial),Sergey Gorodetskiy,106,Differential Equations (Tut),Ivan Konyukhov,108,,,
12:40-14:10,,,,Operating Systems (Lab),Shokhista Ergasheva,306,Physics 1 - Mechanics (Tutorial),Semen Kurkin,108,,,,,,,,,
14:20-15:50,,,,,,,Differential Equations (Lab),Marat Mingazov,320,,,,,,,,,
16:00-17:30,Fundamentals of Software Engineering (Lаb),Oleg Ignatov,101,,,,,,,Physics 1 - Mechanics (Lab)                                        ,Victor Nikiforov,106,,,,,,
17:40-19:10,,,,,,,,,,Probability and Statistics (Lab)                                        ,Alexey Shikulin,306,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
