day,slot,targets,a_name(a_type),a_inst,room
Friday,9:00-10:30,[B18-RO-**|B18-SB-**],P2(Lec),Artur Karimov,106
Wednesday,9:00-10:30,[B19-00-**],PM(Lec),Igor Gaponov,105
Wednesday,10:40-12:10,[B19-00-**],PM(Tut),Semen Kurkin,106
Wednesday,12:40-14:10,[B19-00-01],PM(Lab),Mikhail Ivanov,104
Wednesday,14:20-15:50,[B19-00-02],PM(Lab),Mikhail Ivanov,104
Wednesday,12:40-14:10,[B19-00-03],PM(Lab),Victor Nikiforov,300
Wednesday,14:20-15:50,[B19-00-04],PM(Lab),Victor Nikiforov,300
Wednesday,16:00-17:30,[B19-00-05],PM(Lab),Victor Nikiforov,101
Wednesday,17:40-19:10,[B19-00-06],PM(Lab),Victor Nikiforov,101
Friday,9:00-10:30,[B19-00-**],PS(Lec),Sergey Gorodetskiy,105
Friday,10:40-12:10,[B19-00-**],PS(Tut),Sergey Gorodetskiy,107
Friday,12:40-14:10,[B19-00-01],PS(Lab),Sergey Gorodetskiy,104
Friday,12:40-14:10,[B19-00-02],PS(Lab),Alexey Shikulin,300
Friday,14:20-15:50,[B19-00-03],PS(Lab),Alexey Shikulin,104
Friday,16:00-17:30,[B19-00-04],PS(Lab),Alexey Shikulin,101
Friday,17:40-19:10,[B19-00-05],PS(Lab),Alexey Shikulin,101
Friday,12:40-14:10,[B19-00-06],PS(Lab),Azat Gaitudinov,301
Tuesday,9:00-10:30,[B20-CE-**],PSS(Lec),Eugene Zouev,105
Tuesday,10:40-12:10,[B20-CE-**],PSS(Tut),Eugene Zouev,107
Tuesday,12:40-14:10,[B20-CE-01],PSS(Lab),Sirojiddin Komolov,300
Tuesday,14:20-15:50,[B20-CE-02],PSS(Lab),Sirojiddin Komolov,102
Tuesday,12:40-14:10,[B20-CE-03],PSS(Lab),Mansur Khazeev,301
Tuesday,14:20-15:50,[B20-CE-04],PSS(Lab),Mansur Khazeev,103
