,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,,,,,,,,,,,,, Optimization (Lec)        ,Andrey Tremba,103
10:40-12:10,,,,,,,,,,,,, Optimization (Lab),Imre Delgado,102,,,
12:40-14:10, Optimization (Lab),Imre Delgado,317,,,,,,,High Dimentional Data Analysis,Yaroslav Kholodov,300,,,,,,
14:20-15:50, Optimization (Lec)        ,Andrey Tremba,103,,,,,,,High Dimentional Data Analysis,Ivan Grebenkin,300,,,,,,
16:00-17:30,,,,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
