,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,,,,,,,,,,,,,,,
10:40-12:10,,,,,,,Managing Software Development,Andrey Sadovykh,316,,,,,,,,,
12:40-14:10,,,,EM (lec),Giancarlo Succi,321,Managing Software Development,Andrey Sadovykh,316,,,,,,,,,
14:20-15:50,,,,EM (lec),Giancarlo Succi,321,,,,,,,,,,,,
16:00-17:30,,,,EM (lab),Artem Kruglov,321,EM (lab),Artem Kruglov,300,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
