,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,English for Academic Purposes I - EAP1/ EAP2/ EAP3 ,Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf,104/103/318,Discrete Mathematics (Lab)                                       ,Naumcheva Mariya,313,Fundamentals of Philosophy (Logic) (Lab)                                        ,Hamna Aslam,102,,,,Physical education ( check schedule for Sport Classes),Sport Innopolis,105,,,
10:40-12:10,Essentials of Analytical Geometry and Linear Algebra 1 (Lab) ,Anastasiya Puzankova,101,Programming Software Systems 1 (Lecture),Eugene Zouev,106,,,,Computer Architecture / Fundamentals of Computer Architecture (Lecture)                                         ,Alexander Tormasov,108,Essentials of Analytical Geometry and Linear Algebra 1 (Lecture),Vladimir Ivanov,105,,,
12:40-14:10,,,,Programming Software Systems 1 (Tutorial),Eugene Zouev,106,Сalculus 1 (Lecture),Ivan Konyukhov,106,Computer Architecture (Tutorial) ,Artem Burmyakov,108,Essentials of Analytical Geometry and Linear Algebra 1 (Tutorial),Mohammad Reza Bahrami,105,,,
14:20-15:50,Discrete Mathematics (Lecture),Andrey Frolov,108,,,,Calculus 1 (Tutorial),Ivan Konyukhov,106,English for Academic Purposes I - EAP1/ EAP2/ EAP3 ,Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf,104/103/318,,,,,,
16:00-17:30,Discrete Mathematics (Tutorial),Andrey Frolov,108,,,,Calculus 1 (Lab),Ivan Konyukhov,101,Computer Architecture  (Lab),Vladislav Ostankovich,313,Programming Software Systems 1  (Lab),Sirojiddin Komolov,321,,,
17:40-19:10,,,,Fundamentals of Philosophy (Logic) (Lec) / Philosophy (Logic) (Lec),Mirko Farina,101,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
