,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,,,,,,,,,,,,,,,
10:40-12:10,Foundations of Mathematical Economics and Quantitative Finance (Lec),Hein Roelfsema*,306,,,,"Academic Research and Writing Culture groups  5, 6, 7, 8",Georgy Gelvanovsky/Guzel Fazlyeva/ Rabab Marouf/Oksana Zhirosh,303/301/306/104,Foundations of Mathematical Economics and Quantitative Finance (Lec),Hein Roelfsema*,306,,,,,,
12:40-14:10,Foundations of Mathematical Economics and Quantitative Finance (Lab),Some teacher,313,,,,,,,Foundations of Mathematical Economics and Quantitative Finance (Lab),Some teacher,321,,,,,,
14:20-15:50,,,,,,,,,,,,,,,,,,
16:00-17:30,,,,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
