,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,Discrete Mathematics (Lab)                                       ,Ruzilia Mukhutdinova,103,,,,,,,Physical education ( check schedule for Sport Classes),Sport Innopolis,105,,,
10:40-12:10,Essentials of Analytical Geometry and Linear Algebra 1 (Lab),Oleg Bulichev,303,Programming Software Systems 1 (Lecture),Eugene Zouev,106,Philosophy (Logic) (Lab)                                       ,Mirko Farina,101,Computer Architecture / Fundamentals of Computer Architecture (Lecture)                                         ,Alexander Tormasov,108,Essentials of Analytical Geometry and Linear Algebra 1 (Lecture),Vladimir Ivanov,105,,,
12:40-14:10,English for Academic Purposes - EAP7/ EAP8/ EAP9,Oksana Zhirosh/Guzel Fazlyeva/ Rabab Marouf,103/104/318,Programming Software Systems 1 (Tutorial),Eugene Zouev,106,Сalculus 1 (Lecture),Ivan Konyukhov,106,Computer Architecture (Tutorial) ,Artem Burmyakov,108,Essentials of Analytical Geometry and Linear Algebra 1 (Tutorial),Mohammad Reza Bahrami,105,,,
14:20-15:50,Discrete Mathematics (Lecture),Andrey Frolov,108,,,,Calculus 1 (Tutorial),Ivan Konyukhov,106,,,,Programming Software Systems 1  (Lab),Mansur Khazeev,106,,,
16:00-17:30,Discrete Mathematics (Tutorial),Andrey Frolov,108,,,,,,,Computer Architecture  (Lab),Manuel Rodriguez,301,English for Academic Purposes - EAP9,Rabab Marouf,103,,,
17:40-19:10,,,,Fundamentals of Philosophy (Logic) (Lec) / Philosophy (Logic) (Lec),Mirko Farina,101,Calculus 1 (Lab),Ramil Dautov,103,English for Academic Purposes - EAP7/ EAP8/ EAP9,Oksana Zhirosh/Guzel Fazlyeva,104/103,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
