,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,,,,,,,,,,Philosophy 2 - Knowledge and Perception (Lab),Artur Karimov,102,,,
10:40-12:10,Introduction to Machine Learning (Lec),Adil Khan,105,Philosophy 2 - knowledge and perception,Mirko Farina,101,Theoretical Mechanics (Lec),Kirill Poletkin,318,Introduction to Machine Learning (Lec),Adil Khan,105,Introduction to Machine Learning (Lab)                                                ,Rasheed Bader,316,,,
12:40-14:10,,,,Introduction to Machine Learning (Lab)                                        ,Rasheed Bader,316,Theoretical Mechanics (Lab),Oleg Bulichev,318,,,,,,,,,
14:20-15:50,Theoretical Mechanics (Lec),Kirill Poletkin,318,,,,,,,,,,,,,,,
16:00-17:30,Theoretical Mechanics (Lab),Oleg Bulichev,318,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
