,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,Distributed Systems,Ahsan Kazmi,105,,,,Distributed Systems,Ahsan Kazmi,105,,,,Introduction to Machine Learning (Lab)                                                ,Youssef Youssry Nasr Ibrahim,312,,,
10:40-12:10,Introduction to Machine Learning (Lec),Adil Khan,105,Philosophy 2 - knowledge and perception,Mirko Farina,101,Introduction to Big Data (Lec),Luiz Araújo,321,Introduction to Machine Learning (Lec),Adil Khan,105,Introduction to Big Data (Lec),Luiz Araújo,321,,,
12:40-14:10,,,,Introduction to Machine Learning (Lab)                                                ,Youssef Youssry Nasr Ibrahim,312,Introduction to Big Data (Lab)        ,Vitaly Romanov,314,,,,Introduction to Big Data (Lab)        ,Vitaly Romanov,313,,,
14:20-15:50,Distributed Systems (Lab),Rustam Gafarov,312,,,,Distributed Systems (Lab),Rustam Gafarov,312,Philosophy 2 - Knowledge and Perception (Lab),Mirko Farina,101,,,,,,
16:00-17:30,,,,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
