,Monday,Teacher1,Room1,Tuesday,Teacher2,Room2,Wednesday,Teacher3,Room3,Thursday,Teacher4,Room4,Friday,Teacher5,Room5,Saturday,Teacher6,Room6
9:00-10:30,,,,Operating Systems (Lecture),Giancarlo Succi,108,,,,Probability and Statistics (Lec),Sergey Gorodetskiy,106,Differential Equations (Lec),Nikolay Shilov,108,,,
10:40-12:10,Fundamentals of Software Engineering (Lec),Evgeniy Bobrov,106,Operating Systems (Tutorial),Nikita Lozhnikov,108,Physics 1 - Mechanics (Lecture),Igor Gaponov,108,Probability and Statistics (Tutorial),Sergey Gorodetskiy,106,Differential Equations (Tut),Ivan Konyukhov,108,,,
12:40-14:10,Fundamentals of Software Engineering (Lаb),Pavel Kolychev,303,Operating Systems (Lab),Nikita Lozhnikov,104,Physics 1 - Mechanics (Tutorial),Semen Kurkin,108,Probability and Statistics (Lab)                                        ,Sergey Gorodetskiy,104,Differential Equations (Lab),Marat Mingazov,103,,,
14:20-15:50,,,,,,,Physics 1 - Mechanics (Lab)                                        ,Mikhail Ivanov,306,,,,,,,,,
16:00-17:30,,,,,,,,,,,,,,,,,,
17:40-19:10,,,,,,,,,,,,,,,,,,
19:20-20:50,,,,,,,,,,,,,,,,,,
